Version:,16.6
Comment:,Date/Time        : August 07, 2020  07:16:41 AM
Comment:,######################################################################
Comment:,Do not edit the following "States:" and "Columns:" lines.
Comment:,They are required for re-import into the spreadsheet.
Comment:,It is permitted to swap columns in this spreadsheet, as long as
Comment:,   1. the columns stay intact so that the State and Column pairs are the same, and
Comment:,   2. the column and state names themselves aren't changed.
Comment:
States:,,ELECTRICAL_CONSTRAINT_SET,PROPAGATION_DELAY_PATH_TYPE,PROPAGATION_DELAY_MIN,PROPAGATION_DELAY_MIN_ACTUAL,PROPAGATION_DELAY_MIN_MARGIN,PROPAGATION_DELAY_MAX,PROPAGATION_DELAY_MAX_ACTUAL,PROPAGATION_DELAY_MAX_MARGIN
Comment:,Groupings:,,,Prop Delay,,,Prop Delay,,
Columns:,Objects,Referenced Electrical CSet,Pin Pairs,Min,Actual,Margin,Max,Actual,Margin
Comment:,Units:,,,mil,,,mil,,
Comment:,######################################################################
Design:,HW-XC7A100T,,,,,0.14 MIL,,,
Diff Pair:,DIFFPAIR37,,All Drivers/All Receivers,1000.00 MIL,,103.93 MIL,,,
Net:,DDR_CLK+,,All Drivers/All Receivers,1000.00 MIL,,111.97 MIL,,,
Pin Pair:,R32.1:U1.F18,,,100.00 MIL,675.45 MIL,575.45 MIL,,,
Pin Pair:,R32.1:U9.J7,,,100.00 MIL,436.52 MIL,336.52 MIL,,,
Pin Pair:,U1.F18:U9.J7,,,1000.00 MIL,1111.97 MIL,111.97 MIL,,,
Net:,DDR_CLK-,,All Drivers/All Receivers,1000.00 MIL,,103.93 MIL,,,
Pin Pair:,R32.2:U1.F19,,,100.00 MIL,668.21 MIL,568.21 MIL,,,
Pin Pair:,R32.2:U9.K7,,,100.00 MIL,435.72 MIL,335.72 MIL,,,
Pin Pair:,U1.F19:U9.K7,,,1000.00 MIL,1103.93 MIL,103.93 MIL,,,
Diff Pair:,DIFFPAIR38,,All Drivers/All Receivers,1400.00 MIL,,106.26 MIL,,,
Net:,IO_M1,,All Drivers/All Receivers,1400.00 MIL,,125.62 MIL,,,
Pin Pair:,U1.M1:U2.53,,,1400.00 MIL,1525.62 MIL,125.62 MIL,,,
Net:,IO_N1,,All Drivers/All Receivers,1400.00 MIL,,106.26 MIL,,,
Pin Pair:,U1.N1:U2.54,,,1400.00 MIL,1506.26 MIL,106.26 MIL,,,
Diff Pair:,DIFFPAIR39,,All Drivers/All Receivers,1400.00 MIL,,102.25 MIL,,,
Net:,IO_P1,,All Drivers/All Receivers,1400.00 MIL,,122.13 MIL,,,
Pin Pair:,U1.P1:U2.55,,,1400.00 MIL,1522.13 MIL,122.13 MIL,,,
Net:,IO_R1,,All Drivers/All Receivers,1400.00 MIL,,102.25 MIL,,,
Pin Pair:,U1.R1:U2.56,,,1400.00 MIL,1502.25 MIL,102.25 MIL,,,
Diff Pair:,DIFFPAIR40,,All Drivers/All Receivers,1400.00 MIL,,100.97 MIL,,,
Net:,IO_U1,,All Drivers/All Receivers,1400.00 MIL,,100.97 MIL,,,
Pin Pair:,U1.U1:U2.59,,,1400.00 MIL,1500.97 MIL,100.97 MIL,,,
Net:,IO_U2,,All Drivers/All Receivers,1400.00 MIL,,125.43 MIL,,,
Pin Pair:,U1.U2:U2.60,,,1400.00 MIL,1525.43 MIL,125.43 MIL,,,
Diff Pair:,DIFFPAIR41,,All Drivers/All Receivers,1400.00 MIL,,112.24 MIL,,,
Net:,IO_L2,,All Drivers/All Receivers,1400.00 MIL,,139.66 MIL,,,
Pin Pair:,U1.L2:U2.35,,,1400.00 MIL,1539.66 MIL,139.66 MIL,,,
Net:,IO_M2,,All Drivers/All Receivers,1400.00 MIL,,112.24 MIL,,,
Pin Pair:,U1.M2:U2.36,,,1400.00 MIL,1512.24 MIL,112.24 MIL,,,
Diff Pair:,DIFFPAIR42,,All Drivers/All Receivers,1400.00 MIL,,105.43 MIL,,,
Net:,IO_M5_VREF,,All Drivers/All Receivers,1400.00 MIL,,105.43 MIL,,,
Pin Pair:,U1.M5:U2.47,,,1400.00 MIL,1505.43 MIL,105.43 MIL,,,
Net:,IO_M6,,All Drivers/All Receivers,1400.00 MIL,,107.97 MIL,,,
Pin Pair:,U1.M6:U2.48,,,1400.00 MIL,1507.97 MIL,107.97 MIL,,,
Diff Pair:,DIFFPAIR43,,All Drivers/All Receivers,1400.00 MIL,,105.52 MIL,,,
Net:,IO_P5_VREF,,All Drivers/All Receivers,1400.00 MIL,,105.52 MIL,,,
Pin Pair:,U1.P5:U2.51,,,1400.00 MIL,1505.52 MIL,105.52 MIL,,,
Net:,IO_P6,,All Drivers/All Receivers,1400.00 MIL,,105.52 MIL,,,
Pin Pair:,U1.P6:U2.52,,,1400.00 MIL,1505.52 MIL,105.52 MIL,,,
Diff Pair:,DIFFPAIR44,,All Drivers/All Receivers,1400.00 MIL,,105.51 MIL,,,
Net:,IO_R2,,All Drivers/All Receivers,1400.00 MIL,,120.99 MIL,,,
Pin Pair:,U1.R2:U2.57,,,1400.00 MIL,1520.99 MIL,120.99 MIL,,,
Net:,IO_T2,,All Drivers/All Receivers,1400.00 MIL,,105.51 MIL,,,
Pin Pair:,U1.T2:U2.58,,,1400.00 MIL,1505.51 MIL,105.51 MIL,,,
Diff Pair:,DIFFPAIR47,,All Drivers/All Receivers,1000.00 MIL,,8.37 MIL,,,
Net:,DDR_DQS1+,,All Drivers/All Receivers,1000.00 MIL,,8.37 MIL,,,
Pin Pair:,U1.A23:U9.C7,,,1000.00 MIL,1008.37 MIL,8.37 MIL,,,
Net:,DDR_DQS1-,,All Drivers/All Receivers,1000.00 MIL,,8.38 MIL,,,
Pin Pair:,U1.A24:U9.B7,,,1000.00 MIL,1008.38 MIL,8.38 MIL,,,
Diff Pair:,DIFFPAIR48,,All Drivers/All Receivers,1000.00 MIL,,9.27 MIL,,,
Net:,DDR_DQS0+,,All Drivers/All Receivers,1000.00 MIL,,9.35 MIL,,,
Pin Pair:,U1.B20:U9.F3,,,1000.00 MIL,1009.35 MIL,9.35 MIL,,,
Net:,DDR_DQS0-,,All Drivers/All Receivers,1000.00 MIL,,9.27 MIL,,,
Pin Pair:,U1.A20:U9.G3,,,1000.00 MIL,1009.27 MIL,9.27 MIL,,,
Diff Pair:,DIFFPAIR49,,All Drivers/All Receivers,1400.00 MIL,,101.35 MIL,,,
Net:,IO_N2,,All Drivers/All Receivers,1400.00 MIL,,101.35 MIL,,,
Pin Pair:,U1.N2:U2.38,,,1400.00 MIL,1501.35 MIL,101.35 MIL,,,
Net:,IO_N3,,All Drivers/All Receivers,1400.00 MIL,,128.06 MIL,,,
Pin Pair:,U1.N3:U2.37,,,1400.00 MIL,1528.06 MIL,128.06 MIL,,,
Diff Pair:,DIFFPAIR50,,All Drivers/All Receivers,1400.00 MIL,,112.8 MIL,,,
Net:,IO_P3,,All Drivers/All Receivers,1400.00 MIL,,132.68 MIL,,,
Pin Pair:,U1.P3:U2.43,,,1400.00 MIL,1532.68 MIL,132.68 MIL,,,
Net:,IO_R3,,All Drivers/All Receivers,1400.00 MIL,,112.8 MIL,,,
Pin Pair:,U1.R3:U2.44,,,1400.00 MIL,1512.80 MIL,112.8 MIL,,,
Diff Pair:,DIFFPAIR51,,All Drivers/All Receivers,1400.00 MIL,,103.07 MIL,,,
Net:,IO_J1,,All Drivers/All Receivers,1400.00 MIL,,123.03 MIL,,,
Pin Pair:,U1.J1:U2.45,,,1400.00 MIL,1523.03 MIL,123.03 MIL,,,
Net:,IO_K1,,All Drivers/All Receivers,1400.00 MIL,,103.07 MIL,,,
Pin Pair:,U1.K1:U2.46,,,1400.00 MIL,1503.07 MIL,103.07 MIL,,,
Diff Pair:,DIFFPAIR53,,All Drivers/All Receivers,1400.00 MIL,,104.22 MIL,,,
Net:,IO_L4,,All Drivers/All Receivers,1400.00 MIL,,123.05 MIL,,,
Pin Pair:,U1.L4:U2.41,,,1400.00 MIL,1523.05 MIL,123.05 MIL,,,
Net:,IO_M4,,All Drivers/All Receivers,1400.00 MIL,,104.22 MIL,,,
Pin Pair:,U1.M4:U2.42,,,1400.00 MIL,1504.22 MIL,104.22 MIL,,,
Diff Pair:,DIFFPAIR54,,All Drivers/All Receivers,1400.00 MIL,,105.1 MIL,,,
Net:,IO_K5,,All Drivers/All Receivers,1400.00 MIL,,129.3 MIL,,,
Pin Pair:,U1.K5:U2.39,,,1400.00 MIL,1529.30 MIL,129.3 MIL,,,
Net:,IO_L5,,All Drivers/All Receivers,1400.00 MIL,,105.1 MIL,,,
Pin Pair:,U1.L5:U2.40,,,1400.00 MIL,1505.10 MIL,105.1 MIL,,,
Diff Pair:,DIFFPAIR55,,All Drivers/All Receivers,1400.00 MIL,,100.18 MIL,,,
Net:,IO_G9_VREF,,All Drivers/All Receivers,1400.00 MIL,,118.15 MIL,,,
Pin Pair:,U1.G9:U2.33,,,1400.00 MIL,1518.15 MIL,118.15 MIL,,,
Net:,IO_H9,,All Drivers/All Receivers,1400.00 MIL,,100.18 MIL,,,
Pin Pair:,U1.H9:U2.34,,,1400.00 MIL,1500.18 MIL,100.18 MIL,,,
Diff Pair:,DIFFPAIR56,,All Drivers/All Receivers,1400.00 MIL,,106.17 MIL,,,
Net:,IO_H1,,All Drivers/All Receivers,1400.00 MIL,,106.17 MIL,,,
Pin Pair:,U1.H1:U2.31,,,1400.00 MIL,1506.17 MIL,106.17 MIL,,,
Net:,IO_H2,,All Drivers/All Receivers,1400.00 MIL,,130.62 MIL,,,
Pin Pair:,U1.H2:U2.32,,,1400.00 MIL,1530.62 MIL,130.62 MIL,,,
